split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.22488333262537735,0.22969656562832816,106,4,0
validation,pan_BRCA,3000,63.0,0.2629608021286336,0.2782169578928788,625,149,9
validation,pan_LUAD,3000,63.0,0.15350533346098724,0.15624079750102293,150,17,1
validation,pan_SKCM,3000,64.0,0.2746158482144346,0.28944506270691317,664,161,13
validation,specific_ALL,3000,190.0,0.2385320525568484,0.2455983698147371,98,0,0
validation,specific_BRCA,3000,63.0,0.2751190090890642,0.2908308388549908,692,172,11
validation,specific_LUAD,3000,63.0,0.16238582648029923,0.16119497349615913,149,19,1
validation,specific_SKCM,3000,64.0,0.2740318664722692,0.290133136831501,692,177,14
validation,fused_ALL,3000,190.0,0.2369362474922808,0.24338504025051416,112,2,0
validation,fused_BRCA,3000,63.0,0.27842731366243745,0.2925214922275919,707,170,11
validation,fused_LUAD,3000,63.0,0.1628939310314457,0.1636935548827702,161,19,1
validation,fused_SKCM,3000,64.0,0.27567092701700846,0.291340561548444,689,166,13
test,pan_ALL,3000,191.0,0.20432109639109974,0.20730680064183368,80,4,0
test,pan_BRCA,3000,64.0,0.22579384888631132,0.2390205236115757,434,114,12
test,pan_LUAD,3000,63.0,0.2007511383953049,0.2083649752095167,274,68,6
test,pan_SKCM,3000,64.0,0.20293780791476063,0.21597191269755095,220,40,0
test,specific_ALL,3000,191.0,0.2098677126936913,0.21055733322387943,81,4,0
test,specific_BRCA,3000,64.0,0.22775703867263777,0.235511376084293,452,129,14
test,specific_LUAD,3000,63.0,0.2042021158704435,0.21075103545754087,260,58,5
test,specific_SKCM,3000,64.0,0.20096749940124392,0.21230906852620215,215,38,0
test,fused_ALL,3000,191.0,0.21174406930942397,0.21221750096676573,90,5,0
test,fused_BRCA,3000,64.0,0.2338278391947126,0.2413713646536464,461,128,15
test,fused_LUAD,3000,63.0,0.20873426937590245,0.21779929938514903,272,66,7
test,fused_SKCM,3000,64.0,0.20276691199109753,0.21434283319273606,217,38,0
