split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.2050132520670606,0.21011120977679237,79,3,0
validation,pan_BRCA,3000,63.0,0.27197183416222165,0.28765699738649675,658,152,9
validation,pan_LUAD,3000,63.0,0.11553131507235317,0.11313350897441106,98,15,0
validation,pan_SKCM,3000,64.0,0.2341153086949997,0.24900508342668082,464,77,6
validation,specific_ALL,3000,190.0,0.2165251181234655,0.2230163740663739,53,0,0
validation,specific_BRCA,3000,63.0,0.26408723553809244,0.2835939290712612,647,125,7
validation,specific_LUAD,3000,63.0,0.112850846524793,0.11354342825085467,63,8,0
validation,specific_SKCM,3000,64.0,0.2386382987840505,0.2545152635392449,490,82,5
validation,fused_ALL,3000,190.0,0.21384166380584216,0.22097522216036924,71,0,0
validation,fused_BRCA,3000,63.0,0.27189453371892214,0.2884243503370598,663,147,7
validation,fused_LUAD,3000,63.0,0.1154295311630324,0.11578168741864128,87,14,0
validation,fused_SKCM,3000,64.0,0.2369966542604495,0.2538311855713098,478,80,5
test,pan_ALL,3000,191.0,0.17410021266416675,0.17928560888069078,39,0,0
test,pan_BRCA,3000,64.0,0.21933002020884967,0.2354528658649931,445,124,8
test,pan_LUAD,3000,63.0,0.14499289089423492,0.15108664038013347,184,41,4
test,pan_SKCM,3000,64.0,0.17444338733905046,0.1829410047781153,160,23,0
test,specific_ALL,3000,191.0,0.1762560903359984,0.1799939172657044,33,0,0
test,specific_BRCA,3000,64.0,0.21293637450707859,0.22787331140002615,402,107,7
test,specific_LUAD,3000,63.0,0.14046619884453776,0.14778438697666596,140,23,3
test,specific_SKCM,3000,64.0,0.16851608804159188,0.1766825747415619,149,20,0
test,fused_ALL,3000,191.0,0.17780081752153493,0.1826211561089574,39,0,0
test,fused_BRCA,3000,64.0,0.2188894133681996,0.23237666755213243,432,120,9
test,fused_LUAD,3000,63.0,0.14459435767434675,0.15197240114328375,165,32,3
test,fused_SKCM,3000,64.0,0.17241141268822646,0.1807934317916065,157,21,0
