Cancer,Mean-MLP (no PCA),Attention (all patches),Attention (300 patches)
BRCA,0.252877952303051,0.2571169511330973,0.2488002675588069
LUAD,0.2855530477631924,0.3091689314225693,0.3148001918877062
SKCM,0.1754694361741484,0.0619563779501834,0.1827465444724335
