cancer,split,input_csv,output_csv,samples,enhancers,eRNA_count_min,eRNA_count_median,eRNA_count_mean,min,max,mean,std
BRCA,train,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_subset_MergedTrain_zscoreNorm_for_AI/BRCA_192train_avg_eRNA_zscore_per_SE_top3000.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/anova_mergedtrain_zscore_top3000_fixedsplit/labels/BRCA_train_anova_top3000_zscore.csv,192,3000,1.0,9.0,13.113333333333333,-5.10185432434082,8.124170303344727,0.09911638498306274,0.7281705737113953
BRCA,validation,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_subset_MergedTrain_zscoreNorm_for_AI/BRCA_63val_avg_eRNA_zscore_per_SE_top3000.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/anova_mergedtrain_zscore_top3000_fixedsplit/labels/BRCA_validation_anova_top3000_zscore.csv,63,3000,1.0,9.0,13.113333333333333,-4.837954998016357,8.155401229858398,0.05007448047399521,0.7542555928230286
BRCA,test,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_subset_MergedTrain_zscoreNorm_for_AI/BRCA_64test_avg_eRNA_zscore_per_SE_top3000.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/anova_mergedtrain_zscore_top3000_fixedsplit/labels/BRCA_test_anova_top3000_zscore.csv,64,3000,1.0,9.0,13.113333333333333,-3.7062199115753174,6.365915298461914,0.06517016887664795,0.7152077555656433
LUAD,train,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_subset_MergedTrain_zscoreNorm_for_AI/LUAD_189train_avg_eRNA_zscore_per_SE_top3000.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/anova_mergedtrain_zscore_top3000_fixedsplit/labels/LUAD_train_anova_top3000_zscore.csv,189,3000,1.0,9.0,13.113333333333333,-3.4020602703094482,7.461044788360596,0.11854217946529388,0.7396862506866455
LUAD,validation,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_subset_MergedTrain_zscoreNorm_for_AI/LUAD_63val_avg_eRNA_zscore_per_SE_top3000.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/anova_mergedtrain_zscore_top3000_fixedsplit/labels/LUAD_validation_anova_top3000_zscore.csv,63,3000,1.0,9.0,13.113333333333333,-4.313749313354492,6.6172566413879395,0.13641288876533508,0.7440198063850403
LUAD,test,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_subset_MergedTrain_zscoreNorm_for_AI/LUAD_63test_avg_eRNA_zscore_per_SE_top3000.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/anova_mergedtrain_zscore_top3000_fixedsplit/labels/LUAD_test_anova_top3000_zscore.csv,63,3000,1.0,9.0,13.113333333333333,-3.7048237323760986,9.016054153442383,0.1410142034292221,0.7474126815795898
SKCM,train,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_subset_MergedTrain_zscoreNorm_for_AI/SKCM_189train_avg_eRNA_zscore_per_SE_top3000.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/anova_mergedtrain_zscore_top3000_fixedsplit/labels/SKCM_train_anova_top3000_zscore.csv,189,3000,1.0,9.0,13.113333333333333,-4.578614234924316,7.819447040557861,-0.21923184394836426,0.717393696308136
SKCM,validation,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_subset_MergedTrain_zscoreNorm_for_AI/SKCM_64val_avg_eRNA_zscore_per_SE_top3000.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/anova_mergedtrain_zscore_top3000_fixedsplit/labels/SKCM_validation_anova_top3000_zscore.csv,64,3000,1.0,9.0,13.113333333333333,-4.0284881591796875,7.521480560302734,-0.21019774675369263,0.7084493041038513
SKCM,test,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_subset_MergedTrain_zscoreNorm_for_AI/SKCM_64test_avg_eRNA_zscore_per_SE_top3000.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/anova_mergedtrain_zscore_top3000_fixedsplit/labels/SKCM_test_anova_top3000_zscore.csv,64,3000,1.0,9.0,13.113333333333333,-3.334906816482544,6.098351955413818,-0.18846097588539124,0.7334997653961182
