cancer,split,input_csv,output_csv,samples,enhancers,eRNA_count_min,eRNA_count_median,eRNA_count_mean,min,max,mean,std
BRCA,train,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_SEs_union_eRNA_zscoreNorm_MinMaxNorm/BRCA_192train_avg_eRNA_zscore_per_SE.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/zscore_union21477_erna_ge4_top3000_fixedsplit/labels/BRCA_train_zscore_top3000_shared.csv,192,3000,4.0,6.0,8.126,-6.221318244934082,9.135187149047852,-2.6490953874969136e-09,0.8137543797492981
BRCA,validation,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_SEs_union_eRNA_zscoreNorm_MinMaxNorm/BRCA_63val_avg_eRNA_zscore_per_SE.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/zscore_union21477_erna_ge4_top3000_fixedsplit/labels/BRCA_validation_zscore_top3000_shared.csv,63,3000,4.0,6.0,8.126,-8.009568214416504,11.32815170288086,-0.12543460726737976,0.8633005619049072
BRCA,test,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_SEs_union_eRNA_zscoreNorm_MinMaxNorm/BRCA_64test_avg_eRNA_zscore_per_SE.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/zscore_union21477_erna_ge4_top3000_fixedsplit/labels/BRCA_test_zscore_top3000_shared.csv,64,3000,4.0,6.0,8.126,-4.233077049255371,17.294315338134766,-0.040098343044519424,0.8242928981781006
LUAD,train,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_SEs_union_eRNA_zscoreNorm_MinMaxNorm/LUAD_189train_avg_eRNA_zscore_per_SE.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/zscore_union21477_erna_ge4_top3000_fixedsplit/labels/LUAD_train_zscore_top3000_shared.csv,189,3000,4.0,6.0,8.126,-4.710692405700684,9.696521759033203,5.274642944641528e-09,0.8145763278007507
LUAD,validation,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_SEs_union_eRNA_zscoreNorm_MinMaxNorm/LUAD_63val_avg_eRNA_zscore_per_SE.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/zscore_union21477_erna_ge4_top3000_fixedsplit/labels/LUAD_validation_zscore_top3000_shared.csv,63,3000,4.0,6.0,8.126,-5.180943012237549,11.213122367858887,0.03540883585810661,0.8224034309387207
LUAD,test,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_SEs_union_eRNA_zscoreNorm_MinMaxNorm/LUAD_63test_avg_eRNA_zscore_per_SE.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/zscore_union21477_erna_ge4_top3000_fixedsplit/labels/LUAD_test_zscore_top3000_shared.csv,63,3000,4.0,6.0,8.126,-7.633688449859619,18.85569190979004,0.029240906238555908,0.8175599575042725
SKCM,train,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_SEs_union_eRNA_zscoreNorm_MinMaxNorm/SKCM_189train_avg_eRNA_zscore_per_SE.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/zscore_union21477_erna_ge4_top3000_fixedsplit/labels/SKCM_train_zscore_top3000_shared.csv,189,3000,4.0,6.0,8.126,-6.325449466705322,11.169512748718262,-1.291749374132678e-09,0.8081378936767578
SKCM,validation,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_SEs_union_eRNA_zscoreNorm_MinMaxNorm/SKCM_64val_avg_eRNA_zscore_per_SE.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/zscore_union21477_erna_ge4_top3000_fixedsplit/labels/SKCM_validation_zscore_top3000_shared.csv,64,3000,4.0,6.0,8.126,-4.608924865722656,22.418001174926758,0.020000478252768517,0.8017219305038452
SKCM,test,/taiga/illinois/vetmed/cb/kwang222/enhancer/shared_data/BRCA_LUAD_SKCM_SEs_union_eRNA_zscoreNorm_MinMaxNorm/SKCM_64test_avg_eRNA_zscore_per_SE.csv,/taiga/illinois/vetmed/cb/kwang222/enhancer/MIL/average_embed/zscore_union21477_erna_ge4_top3000_fixedsplit/labels/SKCM_test_zscore_top3000_shared.csv,64,3000,4.0,6.0,8.126,-4.605826377868652,9.679606437683105,0.04021601378917694,0.7747243046760559
