split,group,n_enhancers,n_valid_targets_mean,pearson_mean,pearson_median,gt_0.4,gt_0.5,gt_0.6
validation,pan_ALL,3000,190.0,0.2350595070526202,0.24110413344951243,108,3,0
validation,pan_BRCA,3000,63.0,0.2804827352961241,0.2935495461598263,753,209,12
validation,pan_LUAD,3000,63.0,0.1775814003767692,0.18292952878596136,177,26,0
validation,pan_SKCM,3000,64.0,0.26875981684345374,0.28216084152752774,606,130,7
validation,specific_ALL,3000,190.0,0.053719349334442064,0.04950232016753481,0,0,0
validation,specific_BRCA,3000,63.0,0.03369753511386359,0.050574507768199314,99,11,0
validation,specific_LUAD,3000,63.0,0.024829846236275755,0.01778494767002564,44,7,0
validation,specific_SKCM,3000,64.0,0.08196780047452734,0.08177254327106498,195,27,0
validation,fused_ALL,3000,190.0,0.2350595070526202,0.24110413344951243,108,3,0
validation,fused_BRCA,3000,63.0,0.2804827352961241,0.2935495461598263,753,209,12
validation,fused_LUAD,3000,63.0,0.1775814003767692,0.18292952878596136,177,26,0
validation,fused_SKCM,3000,64.0,0.26875981684345374,0.28216084152752774,606,130,7
test,pan_ALL,3000,191.0,0.2153391539982059,0.21876894509025524,92,4,0
test,pan_BRCA,3000,64.0,0.23063028731616733,0.24340673984197836,432,107,10
test,pan_LUAD,3000,63.0,0.2236737176239273,0.23156570458279882,362,88,8
test,pan_SKCM,3000,64.0,0.20032820445513513,0.21427617599190152,204,25,1
test,specific_ALL,3000,191.0,0.0038545242846089235,0.006720555463480856,0,0,0
test,specific_BRCA,3000,64.0,-0.03558836275932531,-0.02893342787680097,27,5,0
test,specific_LUAD,3000,63.0,0.011657721580318012,0.00850098485522742,53,11,0
test,specific_SKCM,3000,64.0,0.042574237105440206,0.047757945783275954,22,1,0
test,fused_ALL,3000,191.0,0.2153391539982059,0.21876894509025524,92,4,0
test,fused_BRCA,3000,64.0,0.23063028731616733,0.24340673984197836,432,107,10
test,fused_LUAD,3000,63.0,0.2236737176239273,0.23156570458279882,362,88,8
test,fused_SKCM,3000,64.0,0.20032820445513513,0.21427617599190152,204,25,1
