Cancer,Mean-MLP + yPCA5,Transformer + yPCA5,Attention (all patches),Attention (300 patches)
BRCA,0.2496502792763863,0.2600458637579758,0.2571169511330973,0.2488002675588069
LUAD,0.3093070330970339,0.2441468106239891,0.3091689314225693,0.3148001918877062
SKCM,0.1777611248666559,0.1758517914041786,0.0619563779501834,0.1827465444724335
